Model,FN:FP ratio,Threshold,Cost,Recall,Precision,F1,Pred_Default_Rate,TP,FP,FN,TN
Logistic Regression,5:1,0.0885,132.0,0.9733333333333334,0.37435897435897436,0.5407407407407407,0.78,73,122,2,53
Logistic Regression,10:1,0.0885,142.0,0.9733333333333334,0.37435897435897436,0.5407407407407407,0.78,73,122,2,53
Random Forest,5:1,0.20350000000000001,133.0,0.92,0.4011627906976744,0.5587044534412956,0.688,69,103,6,72
Random Forest,10:1,0.15,152.0,0.96,0.3711340206185567,0.5353159851301115,0.776,72,122,3,53
XGBoost,5:1,0.07200000000000001,139.0,0.8933333333333333,0.4036144578313253,0.5560165975103735,0.664,67,99,8,76
XGBoost,10:1,0.025500000000000002,150.0,0.9733333333333334,0.35960591133004927,0.5251798561151079,0.812,73,130,2,45
